source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper
65223618172733952,56.664208814994886,24.029479832481186,7.316839029051112,0.014245489612221718,20.265107296934566,0.01536868792027235,-46.22769834800418,0.011555679142475128,11.957083702087402,12.480111122131348,11.278871536254883,310536.85432153876,213.70278930664062,139114.45270661573,384.5268249511719,244123.5975120102,444.37762451171875,4960.64111328125,4956.25048828125,4964.33544921875,135.38250732421875,135.1114044189453,135.6938934326172,0.7447999715805054,0.7436000108718872,0.7462999820709229,,,
65224442806459008,56.553722556107694,24.054171168916735,7.3324984757352,0.01875288039445877,22.067799911606258,0.02162798121571541,-46.12808704052617,0.016697274520993233,13.603668212890625,14.483099937438965,12.6719388961792,68152.14253477479,138.06475830078125,21987.550759229034,162.96597290039062,67667.89757163377,388.5025939941406,4164.19580078125,4155.9375,4170.62451171875,135.7375030517578,135.3695068359375,136.1199951171875,0.6396999955177307,0.6373999714851379,0.6419000029563904,,,
65225611037551360,56.663989544588695,24.10299456629025,7.360921813307845,0.0205254964530468,20.529234552319263,0.024284526705741882,-46.94187273360423,0.01919134333729744,9.199544906616211,9.431398391723633,8.808818817138672,3936668.220225527,789.99267578125,2305991.5412576925,923.5338745117188,2374820.04399318,826.254150390625,6336.62060546875,6325.67919921875,6353.19384765625,135.07589721679688,134.68020629882812,135.42640686035156,1.3918999433517456,1.3868999481201172,1.3964999914169312,4.440000057220459,4.389999866485596,4.489999771118164
65226092073881856,56.724915748846826,24.132370680376567,7.1171559330370835,0.11061256378889084,19.309047531519298,0.13500459492206573,-44.32380590885371,0.09332752972841263,17.303077697753906,18.825334548950195,15.999247550964355,2257.9583464975713,2.883802890777588,402.97951357994896,25.01978302001953,3158.343222392113,20.225296020507812,3182.361083984375,3176.18603515625,3187.302001953125,146.07870483398438,143.5279998779297,148.3011016845703,0.31200000643730164,0.3068000078201294,0.31610000133514404,,,
65228772133391488,56.491372159992444,24.14454409490353,7.56224918935397,0.13930252194404602,20.64192353731954,0.16167759895324707,-47.49822521472331,0.1087833121418953,17.916900634765625,19.907794952392578,16.578157424926758,1282.8819765479811,1.7868846654891968,148.695841901383,10.94859504699707,1853.0833545867495,13.428982734680176,3118.75927734375,3112.06494140625,3128.921875,138.99049377441406,136.1967010498047,144.72129821777344,0.26339998841285706,0.2583000063896179,0.2759000062942505,,,
65229184450247296,56.519106151072684,24.165368569020757,7.497115632105594,0.10239434242248535,18.937810788453277,0.11629533767700195,-44.62061805868336,0.07551053911447525,17.29123878479004,19.20060920715332,15.989532470703125,2282.7124306799524,2.3942360877990723,285.2154084981175,9.933177947998047,3186.7283824199712,10.123488426208496,3185.717041015625,3181.257080078125,3190.412841796875,138.49839782714844,137.0738983154297,140.10850524902344,0.3160000145435333,0.31279999017715454,0.31949999928474426,,,
65229734206151680,56.605873089025955,24.159918691152065,7.190575194590559,0.07362920045852661,16.920655845873043,0.08905836194753647,-48.014606877582516,0.06681791692972183,14.781489372253418,16.170413970947266,13.620048522949219,23033.018987564097,20.645671844482422,4647.840082145891,24.686450958251953,28257.82210060509,44.86363220214844,3478.97607421875,3469.523681640625,3482.64501953125,126.16329956054688,119.21440124511719,128.00140380859375,0.6162999868392944,0.5825999975204468,0.6248999834060669,,,
65230764996027776,56.56677710161743,24.189728475046618,7.399226753718945,0.03274224326014519,19.60554501391406,0.03974921628832817,-43.75937028293768,0.027051663026213646,8.22874641418457,8.10517692565918,7.661085605621338,9626051.962793304,5940.958984375,7822510.444069832,55097.50390625,6834770.531699212,29891.3046875,,,,,,,,,,,,
65231486552803328,56.61376023966258,24.254800329035454,7.345983258822864,0.02939135581254959,20.450350564327135,0.04048820212483406,-44.64674558353142,0.027193671092391014,7.352818965911865,7.391201496124268,7.256838321685791,21568460.50500032,7619.14111328125,15098583.84740866,20540.484375,9917972.385318452,3896.0234375,9796.7109375,9745.1943359375,9830.744140625,136.46510314941406,135.8970947265625,137.1667938232422,1.8339999914169312,1.8250000476837158,1.8444000482559204,,,
65232066371441792,55.9155727826314,23.69221985705829,7.244614096975412,0.13935013115406036,19.969143551789713,0.19076408445835114,-45.53035596799632,0.12861154973506927,17.853973388671875,19.83281135559082,16.52132225036621,1359.4311599424727,2.25311279296875,159.32806556226842,7.751987457275391,1952.6729527623595,11.963534355163574,3092.381103515625,3091.179443359375,3094.03857421875,144.4488983154297,142.99749755859375,145.8477020263672,0.27709999680519104,0.27489998936653137,0.27900001406669617,,,
65232105028172160,55.88323532267292,23.673853776513997,7.433494730783139,0.05265048146247864,19.924954323283515,0.07243254780769348,-45.31810028461178,0.04649990051984787,10.641136169433594,11.002266883850098,10.113153457641602,1043499.9617913922,772.0278930664062,542637.7693717948,1479.3453369140625,714326.4384429598,1386.1873779296875,5707.18310546875,5680.9970703125,5761.39111328125,132.4176025390625,130.97129821777344,135.39439392089844,0.9319999814033508,0.9212999939918518,0.9495000243186951,5.019999980926514,5.0,5.039999961853027
65232757863112192,55.91274812352996,23.73464542725762,7.388158879058593,0.07691624015569687,20.467241710492118,0.09745510667562485,-45.16644419655399,0.06779064983129501,16.385272979736328,18.250391006469727,15.08416748046875,5258.201859863056,6.645758152008057,684.3221311008857,12.399242401123047,7336.5356286826955,21.066171646118164,3352.281982421875,3350.771484375,3354.380615234375,132.58399963378906,130.8551025390625,134.93389892578125,0.4456999897956848,0.43939998745918274,0.4546000063419342,,,
65233788655261568,55.89349233390916,23.761713579644525,7.27281753089127,0.029543714597821236,22.96594039164058,0.03733845800161362,-47.11639672043164,0.025841211900115013,11.201931953430176,11.649505615234375,10.591699600219727,622549.642906609,872.0753173828125,298961.16623634053,1468.4930419921875,459704.21181208757,1612.7752685546875,5212.673828125,5194.7568359375,5232.2958984375,136.92990112304688,136.3690948486328,137.49310302734375,0.9271000027656555,0.9221000075340271,0.9323999881744385,5.159999847412109,5.059999942779541,5.300000190734863
