WDS,Gaia1,Gmag1,m1,e_m1,Gaia2,Gmag2,m2,e_m2,Sep,rel-PM,Plxdev,Prob,q,e_q,Notes,_RA,_DE
"03434+2314",65063707949772544,10.358,1.07,0.03,65063707949772672,15.693,0.4,0.02,3.62,0.85,1.15,0.23,0.38,0.03,"R  ",55.85225,23.22593
"03442+2406",65249250535404928,10.878,0.98,0.03,65249250537488128,11.056,0.95,0.03,1.84,3.11,3.98,0.0,0.968,0.002,"   ",56.06096,24.10211
"03453+2517",69864313155605120,11.01,0.95,0.03,69864313154046592,17.267,0.21,0.02,3.9,2.17,0.48,0.65,0.22,0.02,"S  ",56.31397,25.28948
"03441+2402",65247704349267584,11.167,0.93,0.03,65248460263511552,11.86,0.82,0.02,5.69,1.46,1.71,0.05,0.88,0.03,"R  ",56.05442,24.03082
"03494+2456",66873435368674944,11.242,0.92,0.03,66873431072788608,11.298,0.91,0.03,0.28,,,0.0,0.99,0.002,"   ",57.35709,24.93767
"03433+2227",64814045795106944,11.794,0.83,0.02,64814050089186048,12.052,0.8,0.02,0.54,,,0.0,0.956,0.002,"W  ",55.82938,22.44924
"03454+2326",65163797868281088,11.943,0.81,0.02,65163797866480768,15.539,0.42,0.02,3.37,1.84,0.98,0.18,0.52,0.012,"   ",56.35822,23.43018
"03461+2452",66814302260735104,11.95,0.81,0.02,66814302258090880,13.523,0.61,0.01,0.86,,,0.0,0.752,0.003,"   ",56.53241,24.86689
"03473+2344",65010239900405504,11.995,0.8,0.02,65010244195009024,16.502,0.29,0.02,1.16,0.97,1.43,0.04,0.364,0.015,"   ",56.77825,23.71515
"03541+2420",66584332530000512,12.185,0.78,0.02,66584332532300288,14.897,0.5,0.02,1.06,,,0.01,0.64,0.003,"   ",58.53716,24.3337
"03466+2421",66733552578791296,12.441,0.74,0.02,66733556873061120,12.744,0.71,0.02,0.89,6.05,1.22,0.0,0.959,0.005,"   ",56.65543,24.34354
"03532+2356",66474450090138496,12.567,0.73,0.02,66474450090139008,15.296,0.45,0.02,3.71,1.87,0.73,0.19,0.62,0.015,"F,W",58.30546,23.92907
"03445+2451",69823940463098752,13.281,0.64,0.03,69823940463098112,18.244,0.15,0.01,4.62,1.21,0.02,1.46,0.231,0.006,"   ",56.11375,24.84397
"03421+2443",68364544935515392,13.517,0.61,0.02,68364544933829376,13.593,0.6,0.02,1.34,1.42,1.63,0.01,0.989,0.003,"W  ",55.51614,24.71252
"03473+2403",65212691775922048,13.563,0.61,0.02,65212691773969280,14.674,0.52,0.01,1.27,0.6,0.65,0.02,0.856,0.004,"   ",56.82567,24.03642
"03486+2246",64131150292139648,13.846,0.58,0.01,64131150289171712,17.224,0.22,0.02,0.8,,,0.03,0.374,0.017,"W  ",57.15683,22.76931
"03427+2412",68267680536205440,13.849,0.58,0.01,68267684833497728,16.354,0.24,0.02,1.71,,,0.08,0.41,0.03,"R  ",55.67459,24.19946
"03475+2223",64021920682268416,13.977,0.57,0.01,64021920680680576,16.696,0.27,0.02,1.01,,,0.03,0.472,0.022,"W  ",56.86997,22.37664
"03461+2423",66781316909399424,14.012,0.57,0.01,66781316912634880,18.479,0.13,0.01,1.16,,,0.1,0.237,0.008,"   ",56.53129,24.37439
"03436+2414",65266494828710400,14.179,0.56,0.01,65266499126062080,14.437,0.54,0.01,1.84,4.47,2.74,0.03,0.964,0.004,"   ",55.90288,24.23232
"03462+2440",66801623514684416,14.265,0.55,0.01,66801623517294848,16.358,0.31,0.02,1.38,5.21,1.24,0.05,0.563,0.028,"   ",56.5412,24.6736
"03445+2353",65241313435901568,14.321,0.55,0.01,65241313437941504,14.405,0.54,0.01,1.47,1.11,0.19,0.02,0.988,0.002,"W  ",56.13333,23.87505
"03502+2421",66555573432261376,14.463,0.54,0.02,66555573432261120,15.331,0.45,0.02,1.95,2.45,0.01,0.05,0.838,0.019,"W  ",57.55359,24.35181
"03459+2552",70035351636365824,14.52,0.53,0.01,70035355933666304,15.656,0.32,0.02,1.58,2.91,1.16,0.04,0.6,0.04,"R  ",56.46946,25.86173
"03508+2240",64094037476647040,14.974,0.49,0.02,64094041774819712,17.591,0.19,0.01,1.2,,,0.07,0.383,0.01,"W  ",57.70402,22.67004
